Key,en,nl,ru,de,pt,cs,es,fi,fr,ja,ko,lt,pl,tr,zh,it,sv,no
ARCHDRUID,Archdruid,Aartsdruïde,Архидруид,Erzdruide,Arquidruida,Arcidruid,Archidruida,Archdruid,Archidruide,大ドルイド,대드루이드,Archdruidas,Archdruid,Başdruid,大德鲁伊,Arcidruido,Archdruid,Archdruid
SHAMAN,Shaman,Sjamaan,Шаман,Schamane,Xamã,Šaman,Chamán,Shamaani,Chaman,シャーマン,무녀,Šamanas,Szaman,Şaman,萨满,Sciamano,Schaman,Sjaman
WARRIOR_DESCRIPTION,"Attacks of this unit damages additional units, up to 2 extra units.","Aanvallen van deze eenheid veroorzaken schade aan extra eenheden, tot maximaal 2 extra eenheden.","Атаки этого отряда наносят урон дополнительным отрядам, до 2 дополнительных отрядов.","Angriffe dieser Einheit fügen weiteren Einheiten Schaden zu, bis zu 2 zusätzlichen Einheiten.","Os ataques desta unidade causam danos a unidades adicionais, até 2 unidades extras.","Útoky této jednotky poškodí další jednotky, až 2 jednotky navíc.","Los ataques de esta unidad dañan unidades adicionales, hasta 2 unidades extra.","Tämän yksikön hyökkäykset vahingoittavat lisäyksiköitä, jopa 2 lisäyksikköä.","Les attaques de cette unité endommagent des unités supplémentaires, jusqu'à 2 unités supplémentaires.",このユニットの攻撃は、最大 2 ユニットまでの追加ユニットにダメージを与えます。,이 유닛의 공격은 최대 2개 유닛까지 추가 유닛에 피해를 입힙니다.,"Šio įrenginio atakos sugadina papildomus vienetus, iki 2 papildomų vienetų.","Ataki tej jednostki zadają obrażenia innym jednostkom, maksymalnie 2 dodatkowym jednostkom.","Bu birimin saldırıları ek birimlere, en fazla 2 ek birime hasar verir.",该单位的攻击会对额外单位造成伤害，最多可造成 2 个额外单位伤害。,"Gli attacchi di questa unità danneggiano unità aggiuntive, fino a un massimo di 2 unità extra.","Attacker av denna enhet skadar ytterligare enheter, upp till 2 extra enheter.","Angrep av denne enheten skader flere enheter, opptil 2 ekstra enheter."
RANGER_DESCRIPTION,"On kill, double the attack speed of this unit for a short time. This unit cannot move during this period.",Bij een kill verdubbelt de aanvalssnelheid van deze eenheid gedurende korte tijd. Gedurende deze periode kan de eenheid niet bewegen.,При убийстве удваивает скорость атаки этого отряда на короткое время. Этот отряд не может двигаться в течение этого периода.,Bei einer Tötung verdoppelt sich die Angriffsgeschwindigkeit dieser Einheit für kurze Zeit. Die Einheit kann sich während dieser Zeit nicht bewegen.,"Ao matar, dobra a velocidade de ataque desta unidade por um curto período. Esta unidade não pode se mover durante este período.",Při zabití zdvojnásobte na krátkou dobu rychlost útoku této jednotky. Tato jednotka se během této doby nemůže pohybovat.,"Al matar, duplica la velocidad de ataque de esta unidad por un breve periodo. Durante este periodo, no puede moverse.",Tapattaessa kaksinkertaista tämän yksikön hyökkäysnopeus lyhyen aikaa. Tämä yksikkö ei voi liikkua tänä aikana.,"À l'élimination, la vitesse d'attaque de cette unité est doublée pendant une courte durée. Elle est alors immobilisée.",キルすると、このユニットの攻撃速度が短時間2倍になる。この間、このユニットは移動できない。,"처치 시, 잠시 동안 해당 유닛의 공격 속도가 두 배로 증가합니다. 이 동안 해당 유닛은 움직일 수 없습니다.","Nužudę, trumpam padvigubinkite šio vieneto puolimo greitį. Šiuo laikotarpiu šis įrenginys negali judėti.",Po zabiciu podwaja prędkość ataku tej jednostki na krótki czas. Ta jednostka nie może się poruszać w tym czasie.,"Öldürme sırasında, bu birimin saldırı hızını kısa bir süreliğine iki katına çıkarır. Bu birim bu süre zarfında hareket edemez.",击杀后，短时间内该单位攻击速度加倍。在此期间，该单位无法移动。,"Quando viene ucciso, raddoppia la velocità d'attacco di questa unità per un breve periodo. L'unità non può muoversi durante questo periodo.","Vid död, dubbla attackhastigheten för den här enheten under en kort tid. Denna enhet kan inte röra sig under denna period.","Når du dreper, dobler du angrepshastigheten til denne enheten i en kort stund. Denne enheten kan ikke bevege seg i denne perioden."
ASSASSIN_DESCRIPTION,"On attack, has a chance to inflict bleeding on the target, armoured targets have a smaller chance to bleed.",Bij een aanval bestaat de kans dat het doelwit gaat bloeden. Bij gepantserde doelen is de kans hierop kleiner.,"При атаке есть шанс вызвать кровотечение у цели, у бронированных целей шанс кровотечения меньше.","Beim Angriff besteht die Chance, dem Ziel Blutungen zuzufügen. Bei gepanzerten Zielen ist die Wahrscheinlichkeit einer Blutung geringer.","No ataque, tem chance de causar sangramento no alvo; alvos blindados têm menor chance de sangrar.","Při útoku má šanci způsobit vykrvácení cíle, obrněné cíle mají menší šanci vykrvácet.","Al atacar, tiene la posibilidad de infligir sangrado al objetivo; los objetivos blindados tienen una posibilidad menor de sangrar.","Hyökkäyksissä on mahdollisuus aiheuttaa verenvuotoa kohteeseen, panssaroiduilla kohteilla on pienempi mahdollisuus vuotaa verta.","En cas d'attaque, a une chance d'infliger un saignement à la cible, les cibles blindées ont une chance plus faible de saigner.",攻撃時にターゲットに出血を与える可能性があり、装甲ターゲットの場合は出血の可能性が低くなります。,"공격 시 대상에게 출혈을 일으킬 확률이 있으며, 갑옷을 입은 대상에게는 출혈을 일으킬 확률이 낮습니다.","Puolimas turi galimybę sukelti kraujavimą į taikinį, šarvuoti taikiniai turi mažesnę galimybę nukraujuoti.",Podczas ataku istnieje szansa na wywołanie krwawienia u celu. Cele opancerzone mają mniejszą szansę na krwawienie.,"Saldırıda, hedefte kanamaya neden olma şansı vardır, zırhlı hedeflerin kanamaya neden olma şansı daha düşüktür.",攻击时，有几率使目标流血，装甲目标流血的几率较小。,"In caso di attacco, ha la possibilità di infliggere sanguinamento al bersaglio; i bersagli corazzati hanno minori probabilità di sanguinare.","Vid attack, har en chans att orsaka blödning på målet, bepansrade mål har en mindre chans att blöda.","Ved angrep, har en sjanse til å påføre blødning på målet, pansrede mål har en mindre sjanse til å blø."
ENFORCER_DESCRIPTION,"On attack, has a chance to stun the target for a short amount of time.",Bij een aanval bestaat de kans dat het doelwit voor korte tijd verdoofd raakt.,При атаке есть шанс оглушить цель на короткое время.,"Beim Angriff besteht die Chance, das Ziel für kurze Zeit zu betäuben.","No ataque, tem a chance de atordoar o alvo por um curto período de tempo.",Při útoku má šanci omráčit cíl na krátkou dobu.,"Al atacar, tiene la posibilidad de aturdir al objetivo por un breve período de tiempo.",Hyökkäyksissä hänellä on mahdollisuus tainnuttaa kohde lyhyeksi ajaksi.,"En cas d'attaque, a une chance d'étourdir la cible pendant une courte période.",攻撃時、ターゲットを短時間スタンさせる可能性があります。,"공격 시, 짧은 시간 동안 대상을 기절시킬 확률이 있습니다.",Puolimas turi galimybę trumpam apsvaiginti taikinį.,Podczas ataku ma szansę ogłuszyć cel na krótki czas.,Saldırıda hedefi kısa bir süreliğine sersemletme şansı vardır.,攻击时，有机会使目标短时间昏迷。,"In caso di attacco, ha la possibilità di stordire il bersaglio per un breve periodo di tempo.",Har vid attack en chans att bedöva målet under en kort tid.,"På angrep, har en sjanse til å overvelde målet i en kort stund."
TANK_DESCRIPTION,"On attack, has a chance to increase the attack speed of up to 2 units behind this.",Bij een aanval is er een kans om de aanvalssnelheid van maximaal 2 eenheden achter je te verhogen.,При атаке имеет шанс увеличить скорость атаки до 2 единиц позади себя.,"Beim Angriff besteht die Chance, die Angriffsgeschwindigkeit von bis zu 2 Einheiten dahinter zu erhöhen.","No ataque, tem a chance de aumentar a velocidade de ataque em até 2 unidades atrás deste.",Při útoku má šanci zvýšit rychlost útoku až o 2 jednotky za tím.,"Al atacar, tiene la posibilidad de aumentar la velocidad de ataque de hasta 2 unidades detrás de esta.",Hyökkäyksissä hänellä on mahdollisuus lisätä hyökkäysnopeutta jopa 2 yksikköä tämän jälkeen.,"En cas d'attaque, a une chance d'augmenter la vitesse d'attaque jusqu'à 2 unités derrière celle-ci.",攻撃時、後ろにいるユニット最大 2 体の攻撃速度が上昇する可能性がある。,"공격 시, 후방에 있는 최대 2개 유닛의 공격 속도를 증가시킬 확률이 있습니다.",Puolimo metu turi galimybę padidinti puolimo greitį iki 2 vienetų.,Podczas ataku ma szansę zwiększyć prędkość ataku nawet o 2 jednostki za sobą.,"Saldırıda, arkasındaki 2 birime kadar saldırı hızını artırma şansı vardır.",攻击时，有機率增加最多 2 个單位的攻擊速度。,"In attacco, ha la possibilità di aumentare la velocità di attacco fino a 2 unità dietro di essa.","Vid attack, har en chans att öka attackhastigheten med upp till 2 enheter bakom detta.","På angrep, har en sjanse til å øke angrepshastigheten med opptil 2 enheter bak dette."
MASSHEALER_DESCRIPTION,"Can't attack, heals up to 6 allies (plus self) around this unit at once. On spawn, Heal all allied units that are currently on the battlefield.","Kan niet aanvallen, geneest maximaal 6 bondgenoten (plus jezelf) rond deze eenheid tegelijk. Geneest bij het spawnen alle geallieerde eenheden die zich op het slagveld bevinden.","Не может атаковать, лечит до 6 союзников (плюс себя) вокруг этого отряда одновременно. При появлении лечит всех союзников, которые в данный момент находятся на поле боя.","Kann nicht angreifen. Heilt bis zu 6 Verbündete (plus sich selbst) um diese Einheit herum gleichzeitig. Heilt beim Erscheinen alle verbündeten Einheiten, die sich aktuell auf dem Schlachtfeld befinden.","Não pode atacar, cura até 6 aliados (além de si mesmo) ao redor desta unidade de uma só vez. Ao surgir, cura todas as unidades aliadas que estão no campo de batalha.","Nemůže útočit, léčí až 6 spojenců (plus sebe) kolem této jednotky najednou. Při spawnu vyléčte všechny spojenecké jednotky, které jsou aktuálně na bojišti.","No puede atacar, pero cura a la vez hasta a 6 aliados (más a sí mismo) alrededor de esta unidad. Al aparecer, cura a todas las unidades aliadas que estén en el campo de batalla.","Ei voi hyökätä, parantaa jopa 6 liittolaista (plus itsensä) tämän yksikön ympärillä kerralla. Spawnissa Heal kaikki liittoutuneiden yksiköt, jotka ovat tällä hetkellä taistelukentällä.","Ne peut pas attaquer, mais soigne simultanément jusqu'à 6 alliés (plus soi-même) autour de cette unité. À son apparition, soigne toutes les unités alliées présentes sur le champ de bataille.",攻撃不可。このユニットの周囲の味方ユニット最大6体（および自身）を一度に回復する。スポーン時、戦場にいる味方ユニットすべてを回復する。,"공격 불가. 주변 아군 최대 6명(자신 포함)을 동시에 치유합니다. 생성 시, 전장에 있는 모든 아군 유닛을 치유합니다.","Negali atakuoti, išgydo iki 6 sąjungininkų (plius save) aplink šį padalinį vienu metu. Išgydykite visus sąjungininkų dalinius, kurie šiuo metu yra mūšio lauke.","Nie może atakować, leczy do 6 sojuszników (plus siebie) wokół tej jednostki na raz. Podczas odradzania się leczy wszystkie sojusznicze jednostki, które są obecnie na polu bitwy.","Saldıramaz, bu birimin etrafındaki 6 müttefiki (artı kendini) aynı anda iyileştirir. Doğduğunda, şu anda savaş alanında bulunan tüm müttefik birimleri iyileştirir.",无法攻击，同时治疗此单位周围最多6名盟友（含自身）。重生时，治疗所有当前在战场上的友方单位。,"Non può attaccare, cura fino a 6 alleati (più se stesso) attorno a questa unità contemporaneamente. All'apparizione, cura tutte le unità alleate attualmente sul campo di battaglia.","Kan inte attackera, helar upp till 6 allierade (plus jag själv) runt den här enheten samtidigt. På spawn, hela alla allierade enheter som för närvarande är på slagfältet.","Kan ikke angripe, helbreder opptil 6 allierte (pluss seg selv) rundt denne enheten samtidig. På spawn, helbrede alle allierte enheter som for øyeblikket er på slagmarken."
BATTLEMAGE_DESCRIPTION,"After 3 regular attacks, unleash a very powerful magic attack that deals damage to up to 3 units.","Na 3 normale aanvallen, voer je een zeer krachtige magische aanval uit die schade toebrengt aan maximaal 3 eenheden.","После 3 обычных атак вы проводите очень мощную магическую атаку, которая наносит урон до 3 единицам.","Entfesseln Sie nach 3 normalen Angriffen einen sehr mächtigen magischen Angriff, der bis zu 3 Einheiten Schaden zufügt.","Após 3 ataques regulares, libere um ataque mágico muito poderoso que causa dano a até 3 unidades.","Po 3 pravidelných útocích vypusťte velmi silný magický útok, který způsobí poškození až 3 jednotkám.","Después de 3 ataques regulares, desata un ataque mágico muy poderoso que inflige daño a hasta 3 unidades.","Kolmen säännöllisen hyökkäyksen jälkeen päästä valloilleen erittäin voimakas taikahyökkäys, joka vaurioittaa jopa 3 yksikköä.","Après 3 attaques régulières, déclenchez une attaque magique très puissante qui inflige des dégâts jusqu'à 3 unités.",3 回の通常攻撃の後、最大 3 体のユニットにダメージを与える非常に強力な魔法攻撃を放ちます。,"3번의 일반 공격 후, 최대 3개의 유닛에게 피해를 입히는 매우 강력한 마법 공격을 풀어냅니다.","Po 3 įprastų atakų paleiskite labai galingą magišką ataką, kuri padaro žalą iki 3 vienetų.","Po 3 standardowych atakach odpalasz potężny atak magiczny, który zadaje obrażenia maksymalnie trzem jednostkom.","3 normal saldırıdan sonra, 3 üniteye kadar hasar veren çok güçlü bir büyü saldırısı gerçekleştirir.",在 3 次常规攻击之后，释放一次非常强大的魔法攻击，对最多 3 个单位造成伤害。,"Dopo 3 attacchi normali, scatena un attacco magico molto potente che infligge danni fino a 3 unità.","Efter 3 vanliga attacker, släpp lös en mycket kraftfull magisk attack som skadar upp till 3 enheter.","Etter 3 vanlige angrep, slipp løs et veldig kraftig magisk angrep som gir skade på opptil 3 enheter."
ARCHDRUID_DESCRIPTION,Can transform into a very powerful Melee and Ranged unit.,Kan transformeren in een zeer krachtige Melee- en Ranged-eenheid.,Может трансформироваться в очень мощное подразделение ближнего и дальнего боя.,Kann sich in eine sehr mächtige Nahkampf- und Fernkampfeinheit verwandeln.,Pode se transformar em uma unidade muito poderosa de combate corpo a corpo e à distância.,Dokáže se proměnit ve velmi silnou jednotku pro boj zblízka a na dálku.,Puede transformarse en una unidad de combate cuerpo a cuerpo y a distancia muy poderosa.,Voi muuntua erittäin tehokkaaksi lähitaistelu- ja range-yksiköksi.,Peut se transformer en une unité de mêlée et à distance très puissante.,非常に強力な近接および遠隔ユニットに変身できます。,매우 강력한 근접 및 원거리 유닛으로 변신할 수 있습니다.,Gali transformuotis į labai galingą Melee ir Ranged įrenginį.,Może przekształcić się w bardzo potężną jednostkę walczącą wręcz i na dystans.,Çok güçlü bir Yakın ve Uzak menzilli birime dönüşebilir.,可以转变为非常强大的近战和远程单位。,Può trasformarsi in un'unità molto potente da mischia e a distanza.,Kan förvandlas till en mycket kraftfull närstrids- och avståndsenhet.,Kan forvandles til en veldig kraftig Melee and Ranged-enhet.
SHAMAN_DESCRIPTION,"While alive on the battlefield, enhance your special Age power. (Age 1: increase the amount of meteors spawned by 1)",Versterk je speciale Tijdperkkracht terwijl je op het slagveld leeft. (Tijdperk 1: verhoog het aantal meteoren dat wordt voortgebracht met 1),"Пока вы живы на поле боя, улучшите свою особую силу Эпохи. (Эпоха 1: увеличьте количество созданных метеоров на 1).","Verstärke deine besondere Alterskraft, solange du noch auf dem Schlachtfeld lebst. (Alter 1: Erhöht die Anzahl der erzeugten Meteore um 1.)","Enquanto estiver vivo no campo de batalha, aumente seu poder especial de Era. (Era 1: aumenta a quantidade de meteoros gerados em 1)","Dokud jste na živu na bojišti, vylepšete svou speciální věkovou sílu. (Věk 1: zvyšte počet vytvořených meteorů o 1)","Mientras estés vivo en el campo de batalla, potencia tu poder especial de Edad. (Edad 1: aumenta la cantidad de meteoritos generados en 1).","Kun elät taistelukentällä, paranna erityistä ikävoimaasi. (Ikä 1: lisää syntyneiden meteorien määrää yhdellä)","Tant que vous êtes en vie sur le champ de bataille, améliorez votre pouvoir spécial Âge. (Âge 1 : augmentez le nombre de météores générés de 1)",戦場で生きている間、特別な時代パワーを強化します。（時代1：隕石の出現数が1増加）,전장에서 살아 있는 동안 특수 능력인 '시대 1'을 강화하세요. (시대 1: 생성되는 유성 수가 1개 증가합니다.),"Būdami gyvi mūšio lauke, sustiprinkite savo ypatingą amžiaus galią. (1 amžius: padidinkite išnerštų meteorų skaičių 1)","Żyjąc na polu bitwy, zwiększasz swoją specjalną moc Ery. (Era 1: zwiększa liczbę generowanych meteorów o 1)",Savaş alanında hayattayken özel Çağ gücünüzü artırın. (Çağ 1: ortaya çıkan meteor miktarını 1 artırın),在战场上存活时，增强你的特殊时代力量。（时代1：增加1颗流星的生成数量）,"Mentre sei in vita sul campo di battaglia, potenzia il tuo potere speciale dell'Età. (Età 1: aumenta di 1 la quantità di meteore generate)","Medan du lever på slagfältet, förbättra din speciella ålderskraft. (Ålder 1: öka mängden meteorer som skapas med 1)","Mens du er i live på slagmarken, forbedre din spesielle alderskraft. (Alder 1: øk mengden av meteorer gytt med 1)"
HARD_WORK,Hard Work,Hard werken,Тяжелая работа,Harte Arbeit,Trabalho duro,Tvrdá práce,Trabajo duro,Kovaa työtä,Travail acharné,ハードワーク,노력,Sunkus darbas,Ciężka praca,Çok Çalışmak,努力工作,Lavoro duro,Hårt arbete,Hardt arbeid
HARD_WORK_DESCRIPTION,"Upgrade the tools of your gold worker worms, making it easier for them to gather gold for you. Increasing your gold production rate by 20%.","Upgrade de gereedschappen van je goudwerkerwormen, waardoor ze gemakkelijker goud voor je kunnen verzamelen. Verhoog je goudproductie met 20%.","Улучшайте инструменты ваших червей-золотодобытчиков, облегчая им сбор золота для вас. Увеличивая скорость добычи золота на 20%.","Verbessere die Werkzeuge deiner Goldarbeiterwürmer, damit sie leichter Gold für dich sammeln können. Deine Goldproduktionsrate steigt dadurch um 20 %.","Aprimore as ferramentas dos seus minhocas garimpeiras, facilitando a coleta de ouro para você. Aumente sua taxa de produção de ouro em 20%.","Vylepšete nástroje svých zlatých pracovních červů, aby pro vás snáze sbírali zlato. Zvyšte svou produkci zlata o 20 %.",Mejora las herramientas de tus gusanos trabajadores de oro para que les sea más fácil recolectar oro para ti. Aumenta tu tasa de producción de oro en un 20%.,"Päivitä kultatyömatojen työkaluja, jotta heidän on helpompi kerätä kultaa puolestasi. Nostat kullantuotantoasi 20 %.",Améliorez les outils de vos vers ouvriers de l'or pour qu'ils puissent plus facilement récolter de l'or pour vous. Votre taux de production d'or augmente de 20 %.,ゴールドワーカーワームのツールをアップグレードすると、ゴールドを集めやすくなります。ゴールドの生産率が20%上昇します。,골드 워커 웜의 도구를 업그레이드하여 골드를 더 쉽게 모을 수 있도록 하세요. 골드 생산량이 20% 증가합니다.,"Atnaujinkite savo aukso darbininkų kirminų įrankius, kad jiems būtų lengviau rinkti auksą. Padidinkite aukso gamybos tempą 20%.","Ulepsz narzędzia swoich robaków-złotników, ułatwiając im zbieranie złota dla Ciebie. Zwiększając tempo produkcji złota o 20%.","Altın işçisi solucanlarınızın araçlarını geliştirin, böylece sizin için altın toplamaları kolaylaşsın. Altın üretim oranınızı %20 artırın.",升级你的金工虫的工具，让它们更容易为你采集金币。提升你的金币产出率 20%。,"Potenzia gli strumenti dei tuoi vermi lavoratori dell'oro, rendendo più facile per loro raccogliere oro per te. Aumenterai il tuo tasso di produzione di oro del 20%.","Uppgradera verktygen för dina guldarbetarmaskar, vilket gör det lättare för dem att samla guld åt dig. Öka din guldproduktion med 20 %.","Oppgrader verktøyene til gullarbeiderormene dine, noe som gjør det lettere for dem å samle gull for deg. Øker gullproduksjonen med 20 %."
SHAMAN_PARTY,Shaman Party,Sjamanenfeest,Шаманская вечеринка,Schamanenparty,Festa do Xamã,Šamanská párty,Fiesta de chamanes,Shamaanien puolue,Fête du chaman,シャーマンパーティー,샤먼 파티,Šamanų vakarėlis,Impreza szamańska,Şaman Partisi,萨满派对,Festa dello Sciamano,Shaman Party,Sjamanpartiet
SHAMAN_PARTY_DESCRIPTION,Another Master Shaman will join your settlement. Increasing your Age Ability Empowerment by 1.,Een andere Meestersjamaan zal zich bij je nederzetting voegen. Je Age Ability Empowerment wordt met 1 verhoogd.,Еще один Мастер Шаман присоединится к вашему поселению. Увеличивая ваш Возраст Способностей Усиления на 1.,Ein weiterer Meisterschamane wird sich Ihrer Siedlung anschließen. Dadurch wird Ihre Altersfähigkeitsstärkung um 1 erhöht.,"Outro Mestre Xamã se juntará ao seu assentamento, aumentando seu Poder de Habilidade de Idade em 1.",K vaší osadě se připojí další mistr šaman. Zvyšte své zplnomocnění věkových schopností o 1.,Otro Maestro Chamán se unirá a tu asentamiento. Aumentará tu potenciación de la habilidad de edad en 1.,Toinen mestarishamaani liittyy ratkaisuusi. Kasvata ikäkykyäsi 1.,"Un autre Maître Chaman rejoindra votre colonie, augmentant votre pouvoir de capacité d'âge de 1.",新たなマスターシャーマンがあなたの集落に加わります。年齢による能力強化が1増加します。,또 다른 마스터 샤먼이 당신의 정착지에 합류합니다. 나이 능력 강화 효과가 1만큼 증가합니다.,Kitas meistras šamanas prisijungs prie jūsų gyvenvietės. Padidinkite savo amžiaus gebėjimus 1.,Kolejny Master Shaman dołączy do twojej osady. Zwiększając twoje Age Ability Empowerment o 1.,Yerleşiminize başka bir Usta Şaman katılacak. Yaş Yetenek Güçlendirmenizi 1 artıracak.,另一位萨满大师将加入你的定居点。你的年龄能力强化值增加1点。,"Un altro Maestro Sciamano si unirà al tuo insediamento, aumentando di 1 il tuo Potenziamento Abilità Età.",En annan Master Shaman kommer att ansluta sig till din uppgörelse. Öka din egen åldersförmåga med 1.,En annen Master Shaman vil bli med i oppgjøret ditt. Øk din aldersevnestyrking med 1.
QUICK_REPAIRS,Quick Repairs,Snelle reparaties,Быстрый ремонт,Schnelle Reparaturen,Reparos rápidos,Rychlé opravy,Reparaciones rápidas,Pikakorjaukset,Réparations rapides,クイック修理,빠른 수리,Greitas remontas,Szybkie naprawy,Hızlı Onarımlar,快速修复,Riparazioni rapide,Snabba reparationer,Raske reparasjoner
QUICK_REPAIRS_DESCRIPTION,Call in the repair crew to repair the damages done to your Home Base. Repairs up to 100 health of your Home Base. (Does not heal over the max health).,Roep de reparatieploeg in om de schade aan je thuisbasis te herstellen. Herstelt tot 100 levenspunten van je thuisbasis. (Geneest niet boven de maximale levenspunten).,"Вызовите ремонтную бригаду для устранения повреждений, нанесенных вашей домашней базе. Восстанавливает до 100 единиц здоровья вашей домашней базы. (Не лечит сверх максимального здоровья).","Rufen Sie das Reparaturteam, um die Schäden an Ihrer Heimatbasis zu reparieren. Repariert bis zu 100 Gesundheit Ihrer Heimatbasis. (Heilt nicht über die maximale Gesundheit hinaus.)",Chame a equipe de reparos para reparar os danos causados ​​à sua Base. Repara até 100 de saúde da sua Base. (Não cura além da saúde máxima).,"Zavolejte opravnou četu, aby opravila škody způsobené na vaší domovské základně. Opraví až 100 zdraví vaší domovské základny. (Neléčí se nad maximální zdraví).",Llama al equipo de reparación para reparar los daños en tu Base. Repara hasta 100 puntos de salud. (No recupera la salud máxima).,Kutsu huoltomiehistö korjaamaan Home Base -kohdassasi aiheutuneet vauriot. Korjaa jopa 100 Home Basen terveyttä. (Ei paranna yli maksimiterveyden).,Appelez l'équipe de réparation pour réparer les dégâts causés à votre base. Répare jusqu'à 100 points de vie de votre base. (Ne guérit pas au-delà de la santé maximale).,修理班を呼び出して、ホームベースのダメージを修理しましょう。ホームベースの体力は最大100まで回復します。（最大体力を超えて回復することはありません。）,수리반을 불러 홈베이스의 피해를 수리하세요. 홈베이스의 체력을 최대 100까지 회복합니다. (최대 체력을 초과하여 회복되지 않습니다.),"Iškvieskite remonto komandą, kad pašalintų jūsų namų bazei padarytą žalą. Pataiso iki 100 jūsų namų bazės sveikatos. (Negydo per maksimalią sveikatą).","Wezwij ekipę naprawczą, aby naprawiła szkody wyrządzone Twojej Bazie Domowej. Naprawia do 100 zdrowia Twojej Bazy Domowej. (Nie leczy ponad maksymalne zdrowie).",Ev Üssünüzde meydana gelen hasarları onarmak için onarım ekibini çağırın. Ev Üssünüzün 100 canına kadar onarır. (Maksimum canın üzerinde iyileştirme yapmaz).,呼叫维修队修复你基地的损坏。最多可修复 100 点基地生命值。（无法修复超过最大生命值的部分）。,Chiama la squadra di riparazione per riparare i danni alla tua base. Ripara fino a 100 punti salute della tua base. (Non cura oltre il limite massimo di salute).,Ring in reparationsteamet för att reparera skadorna på din hemmabas. Reparerar upp till 100 hälsa på din Home Base. (Läker inte över max hälsa).,Ring inn reparasjonsteamet for å reparere skadene på hjemmebasen din. Reparerer opptil 100 helse på hjemmebasen din. (heler ikke over maks helse).
MINUTES,Minutes,Minuten,Минуты,Minuten,Minutos,Zápis,Minutos,Minuutit,Minutes,分,분,Minutės,Protokół,Dakikalar,分钟,Minuti,Minuter,Minutter
SECONDS,Seconds,Seconden,Секунды,Sekunden,Segundos,Sekundy,Artículos de segunda clase,Sekuntia,Secondes,秒,초,sekundės,Towary drugiej jakości,Saniyeler,秒,Secondi,Sekunder,Sekunder
READY,Ready,Klaar,Готовый,Bereit,Preparar,Připraveno,Listo,Valmis,Prêt,準備ができて,준비가 된,Paruošta,Gotowy,Hazır,准备好,Pronto,Redo,Ferdig
